f;;;;;n;;;;;r;;;;;s;;;;
CR;CR+;RTW;SR;TI;CR;CR+;RTW;SR;TI;CR;CR+;RTW;SR;TI;CR;CR+;RTW;SR;TI;
0,00225;0,43075;1,08825;2,61375;7,61875;1,341;8,25275;0,0375;11,179;22,79225;3,7995;2,30675;2,15175;3,6495;12,30275;32,895;18,2775;24,94425;41,93725;60,27075
2,16725;1,84675;2,1695;2,81;2,172;5,184;0,0575;3,48825;5,78525;0,054;3,77075;1,192;2,22625;2,7845;1,56975;79,755;61,781;25,157;41,97225;66,73525
3,95925;1,485;2,63275;0,11125;6,29375;4,65725;1,6885;20,218;4,5765;4,69875;0,69175;1,60375;1,621;0,73875;1,39675;30,4455;24,21575;36,56775;42,773;52,87425
2,35375;1,21275;1,62775;2,87675;1,1365;0,94575;3,42425;1,36775;1,71925;2,1745;0,9085;2,08825;2,017;0,8395;0,35775;8,3445;7,687;2,612;23,1385;54,381
1,1165;2,23425;0,35875;0,69575;2,50175;8,49;2,5715;1,51625;9,00175;7,01475;0,9735;0,9785;1,003;0,9945;0,929;1,73425;52,87025;0,0505;2,386;36,7845
1,426;1,96525;1,635;2,70625;2,442;1,504;3,17;3,1475;1,88775;10,082;0,44875;0,96175;1,879;0,81375;0,626;149,36425;24,10825;73,71925;20,08425;9,00475
0,96825;1,849;0,682;1,482;2,3815;8,80775;1,47425;0,00025;2,3375;3,00375;1,1335;0,23475;1,69475;1,648;0,6375;7,236;0,9095;0,00075;34,1825;36,01175
1,67025;0,88425;2,913;0,59325;0,31875;3,94925;0,51325;1,459;0,61375;5,1795;5,261;0,61825;4,52425;2,547;0,64775;13,109;21,75075;5,1955;93,25475;14,777
0,91825;0,37575;0,8715;2,51;5,01175;6,766;3,25525;3,68725;1,60325;6,50725;1,953;3,2535;2,79425;0,51925;1,88375;9,999;1,34975;21,23875;7,985;67,7335
0,86525;2,08875;0,92825;2,87925;3,516;5,173;0,16975;5,774;2,04425;1,69575;0,746;4,88275;1,37125;4,00225;1,10025;4,12325;3,88875;54,2645;17,52375;14,70675
0,35925;1,06025;2,634;0,86675;2,50075;4,02475;1,409;2,4565;4,18025;0,5585;2,013;0,842;0,5095;3,06225;4,78275;74,85725;24,0785;148,70775;79,3605;13,3815
1,33025;1,59575;0,28225;2,4245;4,92975;8,07425;3,1925;1,49975;13,53725;0,57925;0,452;1,20275;0,531;0,71125;0,73475;64,49825;254,757;1,5885;74,14025;56,289
2,5055;0,156;1,52075;1,8625;5,11325;1,27975;3,26;2,09775;0,781;0,00575;1,00225;0,9375;1,007;0,24775;2,17925;4,2585;46,80325;15,36825;43,102;35,59125
1,45675;2,78625;79,27975;4,6875;6,58275;0,35975;0,00025;2,26325;1,482;4,155;5,5305;1,22725;1,8405;3,26675;2,696;32,17875;78,47125;33,75475;62,6705;25,49225
6,19425;0,69625;0,01625;0,835;14,5025;1,2335;1,33725;0,04225;5,18025;2,82975;0,4635;0,9895;0,463;0,69425;0,96375;0,02425;0,9145;31,4945;89,46125;2,68025
0,4785;1,853;2,163;1,61075;3,118;0,06375;0,62675;7,0305;2,3165;6,82725;1,28725;1,06125;1,4625;1,2475;0,57775;1,425;21,0265;67,47725;63,841;66,121
2,495;1,6655;1,306;2,47675;1,551;2,036;4,05125;2,50575;6,6525;1,0445;1,449;1,5005;0,3715;0,60725;0,76775;21,016;0,0655;46,546;0,792;11,0875
2,178;3,6515;0,663;3,93725;0,84475;6,4745;0,04525;20,09725;3,046;3,1215;2,039;1,37525;1,3675;1,05925;1,216;0,1525;26,76775;115,19625;23,49425;2,12475
0,1565;2,03525;1,003;0,13;0,51225;1,25875;23,8835;0,0;1,812;6,57075;0,92875;1,4395;4,5385;1,12625;0,7255;12,728;26,05425;17,50325;9,211;9,81675
0,64925;0,97825;0,7885;1,2625;6,73225;0,2285;0,1895;6,08125;1,0935;12,16725;0,82025;0,74725;1,1535;1,04125;0,363;42,362;22,57;36,392;2,4755;14,0005
8,758;1,049;2,5365;0,38775;29,3995;2,36125;8,2785;0,87425;0,5295;4,7145;0,63925;1,206;1,1025;0,436;1,69125;9,17725;18,6965;2,487;3,87275;10,6265
20,07475;0,037;0,8355;0,99875;11,92275;5,62625;2,37125;0,9165;5,70575;0,84725;0,425;0,63325;1,214;1,10625;1,48425;4,42975;95,4635;7,24775;14,42925;51,52925
1,64725;0,46675;0,33775;3,948;38,253;0,02175;11,162;6,2325;3,9355;7,2975;1,15075;0,3865;4,34375;1,08175;1,499;5,955;0,1545;57,28525;9,008;55,77375
13,7;8,84675;1,917;2,241;2,4865;1,958;3,0145;1,96825;11,056;1,86425;0,819;0,89825;1,54625;0,74275;0,783;21,856;31,122;126,8875;73,7255;38,774
2,81275;0,1615;2,76125;11,89425;10,3245;2,403;3,17275;2,332;0,00225;0,54925;3,47225;1,79825;2,46725;2,36525;1,5075;72,5625;33,457;12,96075;0,0185;4890,20125
0,3715;3,36325;0,5365;11,88;0,008;10,557;0,09;1,796;3,473;18,34075;1,2365;1,4795;1,034;2,668;3,91475;22,5455;22,6775;15,805;25,8815;8,5045
1,2725;2,64225;0,91925;7,915;2,85875;1,06275;2,33775;2,25925;3,944;1,777;1,614;2,21;1,2775;1,506;2,4275;7,99925;80,1995;72,93375;4,2775;92,30575
