f;;;;;n;;;;;r;;;;;s;;;;
CR;CR+;RTW;SR;TI;CR;CR+;RTW;SR;TI;CR;CR+;RTW;SR;TI;CR;CR+;RTW;SR;TI;
7,70475;3,76075;4,2345;2,724;10,4325;2,0475;5,69225;1,3325;3,95125;5,11275;4,6235;1,86475;1,47775;1,91675;2,36025;19,89;65,78725;41,24325;1142,333;3,26825
15,384;3,77975;1,54375;6,9395;4,7295;2,0095;14,52725;8,38725;2,115;5,94675;7,68;1,5385;2,52275;4,34825;2,51025;0,823;0,9325;21,0215;1,08175;-42,64675
6,993;3,765;17,92925;7,03025;6,03725;3,54225;4,55275;1,91775;6,9835;11,30325;2,9025;2,3625;2,981;2,4895;3,1725;0,981;0,9695;18,8885;1,29825;0,88325
16,83525;3,10425;7,05625;7,385;2,24725;5,82175;7,02025;6,03925;5,692;563,1345;20,05025;1,8435;1,36575;3,28025;1,73875;0,76625;0,80775;0,96375;1,28;-19,687
11,55225;3,95625;8,81875;4,37025;5,64475;1,3675;2,48225;2,126;3,9995;162,328;2,4955;4,07525;2,94525;1,97725;0,97225;0,744;0,77125;-7,69725;1,36075;1,241
2,78725;11,9805;2,47725;4,86925;541,69175;3,45175;8,84375;7,36675;3,475;557,89075;2,44025;2,7865;1,87475;2,586;1,422;48,24575;0,85225;0,77425;0,841;-29,9255
5,11375;3,00175;4,1335;4,76175;3,87175;3,10125;1,82;1,285;6,4565;8,05075;1,208;2,0505;1,88975;2,05025;1,1255;15,25175;2,09725;0,84475;1,04025;0,96425
13,01425;3,41625;3,023;7,46275;4,69675;3,1935;2,03475;3,40925;7,455;10,904;3,687;2,169;1,42175;1,854;1,145;15,83475;1,05725;0,72975;0,959;0,94
3,81925;1,857;6,76875;5,3095;20,6175;2,43975;3,2225;5,3255;3,618;-0,44025;1,10225;3,04475;2,0375;1,883;3,005;0,75325;0,93375;16,12125;1,184;1,032
3,51675;3,0835;6,62375;2,81475;4,42225;1,05975;6,08675;3,32425;3,21825;-2,794;3,994;7,97;1,83525;3,3215;1,16625;11,1755;0,861;0,96575;0,77175;0,90325
1,47575;1,4045;12,1685;1303,945;235,60375;1,2245;2,58525;2,72175;3,04125;173,86675;5,50025;1,02575;2,46375;3,721;2,15275;0,9665;17,5555;0,92775;1,2465;0,93575
14,956;3,3605;5,70625;26,129;10,034;1,08375;5,45775;5,3285;1,09375;557,22575;1,797;4,22325;2,2125;3,397;2,549;0,7715;1,05125;0,945;1,80275;1,09
8,06625;3,40575;3,03525;6,834;5,414;0,9735;4,997;7,65025;3,52075;705,201;2,67825;2,3485;1,09;1,43;1,67;6,658;0,78925;20,9445;0,7065;-3,8335
2,9835;6,91475;9,79075;14,207;136,69075;1,513;1,8615;1,368;5,23475;556,035;2,32275;2,064;3,3855;3,04625;2,9735;1,3175;15,51575;1,01625;0,73925;0,743
2,7235;4,3765;9,63175;4,92825;714,512;3,7145;2,35875;5,3065;12,5515;1,80825;1,353;0,91125;1,1465;0,97875;3,3445;12,2925;0,871;0,9415;1,05625;0,848
;;;;;;;;;;2,8125;2,07825;1,02225;5515,498;2,48125;;;;;
;;;;;;;;;;8,52425;2,07325;1,4975;1,48625;1,706;;;;;
;;;;;;;;;;3,11975;1,7705;0,79725;4,2475;2,6415;;;;;
;;;;;;;;;;2,3105;1,996;0,93075;3,36525;2,78675;;;;;
;;;;;;;;;;1,694;2,33275;2,71175;4,2145;2,49125;;;;;
;;;;;;;;;;1,69125;3,002;1,27875;5,54875;1,287;;;;;
;;;;;;;;;;4,29425;2,60925;2,3485;2,01875;1,952;;;;;
;;;;;;;;;;2,263;2,816;1,8085;5,346;1,6245;;;;;
;;;;;;;;;;3,32025;4,3805;3,4905;2,74075;1,35875;;;;;
;;;;;;;;;;1,57025;4,588;2,09025;3,291;1,462;;;;;
