f;;;;;n;;;;;r;;;;;s;;;;
CR;CR+;RTW;SR;TI;CR;CR+;RTW;SR;TI;CR;CR+;RTW;SR;TI;CR;CR+;RTW;SR;TI;
0,016;0,016;0,0;0,138;0,001;0,032;0,021;0,086;4,332;0,069;0,085;0,001;0,001;0,001;4,113;3,147;0,014;0,109;3,031;0,001
0,008;0,006;0,001;0,25;0,001;0,011;0,01;0,229;0,578;1,125;0,002;0,037;0,027;0,001;2,875;0,021;0,007;0,136;0,346;0,001
0,007;0,007;0,001;0,136;0,358;0,009;0,01;0,067;0,542;0,014;0,029;0,08;0,011;0,0;0,773;0,011;0,007;0,303;0,086;0,001
0,006;0,006;0,212;0,103;0,055;0,012;0,01;0,041;0,174;1,37;0,018;0,0;0,012;0,001;0,175;0,049;0,007;0,391;0,08;0,39
0,01;0,01;0,017;0,088;0,158;0,03;0,01;0,06;0,118;0,001;0,087;0,001;0,014;0,163;0,852;0,132;0,009;0,095;0,258;5,105
0,01;0,011;0,051;0,099;0,001;0,011;0,047;0,158;0,22;0,001;0,002;0,04;0,007;0,0;0,201;0,042;0,011;0,055;0,091;0,002
0,01;0,009;0,002;0,078;0,235;0,009;0,029;0,028;1,633;0,216;0,018;0,001;0,023;0,001;0,334;0,036;0,009;0,053;0,144;0,001
0,01;0,011;0,15;0,103;0,988;0,01;0,048;0,014;1,598;0,004;0,001;0,027;0,001;0,0;0,26;0,058;0,01;0,119;0,297;0,145
0,01;0,009;0,001;0,112;0,862;0,008;0,012;0,044;0,858;0,164;0,015;0,023;0,008;0,0;0,194;0,048;0,009;0,084;0,194;0,005
0,01;0,01;0,046;0,134;0,246;0,009;0,01;0,001;1,101;0,183;0,025;0,532;0,023;0,001;0,174;0,049;0,011;0,158;0,17;0,031
0,01;0,011;0,0;0,104;1,574;0,01;0,01;0,07;0,195;0,038;0,006;0,001;0,067;0,0;0,312;0,015;0,01;0,056;0,167;0,896
0,011;0,011;0,067;0,106;0,033;0,009;0,009;0,064;0,25;0,044;3,003;0,0;0,001;0,015;0,149;0,084;0,01;0,051;0,179;0,001
0,011;0,01;0,069;0,128;0,173;0,01;0,011;0,05;1,312;0,019;0,037;0,001;12,267;1,956;0,362;0,011;0,01;0,115;0,273;0,001
0,011;0,01;99,213;0,082;0,833;0,01;0,01;0,021;1,99;0,773;0,131;0,001;0,097;0,057;0,109;0,062;0,01;0,098;0,086;0,074
0,01;0,012;0,025;0,121;0,269;0,009;0,01;0,058;0,305;0,027;0,001;0,0;0,055;0,159;0,504;0,036;0,01;1,698;0,106;0,137
0,01;0,01;0,034;0,08;0,588;0,01;0,01;0,071;0,117;0,025;0,018;0,001;0,0;0,0;0,042;0,049;0,009;0,12;0,14;0,011
0,011;0,01;0,907;0,117;1,425;0,009;0,01;0,078;0,153;0,116;0,007;0,03;0,013;0,001;0,335;0,042;0,01;0,125;0,136;0,101
0,01;0,009;0,016;0,082;0,01;0,009;0,01;0,079;0,16;0,044;0,017;0,001;0,034;0,0;0,033;0,036;0,009;0,12;0,133;0,042
0,009;0,01;0,082;0,169;0,241;0,01;0,01;0,031;0,128;0,26;0,022;0,0;0,001;0,001;0,421;0,049;0,01;0,699;0,145;0,716
0,011;0,01;2,16;0,099;0,174;0,009;0,01;0,062;0,097;0,065;0,007;0,016;0,014;0,02;0,16;0,012;0,01;0,097;0,134;0,001
0,011;0,009;0,101;0,195;0,181;0,01;0,01;0,029;0,125;0,504;0,034;0,018;0,035;0,001;0,293;0,084;0,009;0,053;0,174;0,015
0,044;0,01;0,271;0,117;0,314;0,033;0,011;0,057;0,084;0,084;0,001;0,018;0,0;6,42;0,037;1,107;0,01;0,082;0,25;1,734
0,016;0,01;0,081;0,092;0,662;0,011;0,01;0,011;0,113;0,172;0,015;0,012;0,012;0,001;0,309;0,708;0,01;0,064;0,118;0,001
0,011;0,011;0,047;0,107;0,187;0,008;4,159;0,076;0,079;0,226;0,033;0,032;0,034;0,159;995,026;0,078;0,01;0,668;0,17;0,105
0,015;0,013;0,076;0,186;1,68;0,05;0,014;0,03;1,408;0,002;0,001;0,062;0,057;0,011;0,261;0,032;0,013;0,905;0,178;5006,787
0,007;0,006;0,168;0,139;0,001;0,036;0,007;0,071;0,445;0,358;0,03;0,078;0,012;0,021;1,112;0,016;0,007;0,653;0,1;2,281
0,007;0,006;0,138;0,095;0,001;0,036;0,008;0,1;0,259;0,033;0,012;0,079;0,019;0,016;0,855;0,031;0,007;0,07;0,115;0,731
0,007;0,006;0,018;0,094;0,001;0,01;0,009;0,025;0,575;0,303;0,015;0,097;0,017;0,018;3,982;0,133;0,008;0,23;0,082;0,016
0,009;0,007;0,006;0,086;0,662;0,009;0,009;0,119;1,647;0,067;0,02;0,032;0,266;2,181;1,154;0,021;0,021;0,36;0,276;2,861
0,01;0,01;0,038;0,09;3,275;0,01;0,01;0,094;0,754;0,044;0,051;0,089;0,023;0,027;0,929;0,013;0,012;0,085;0,126;0,001
0,009;0,008;0,003;0,106;0,002;0,009;0,009;0,021;0,829;0,087;0,012;0,054;0,018;0,03;0,059;0,051;0,01;0,163;0,081;0,052
0,009;0,009;0,011;0,091;0,146;0,009;0,01;0,051;0,169;0,729;0,011;0,159;2,701;0,03;0,92;0,028;0,01;0,113;0,155;0,015
