f;;;;;n;;;;;r;;;;;s;;;;
CR;CR+;RTW;SR;TI;CR;CR+;RTW;SR;TI;CR;CR+;RTW;SR;TI;CR;CR+;RTW;SR;TI;
11;16;12;18;12;15;13;17;11;15;11;13;14;16;18;17;14;20;20;23
8;14;7;9;16;15;9;13;16;15;11;14;13;13;12;25;25;21;24;18
15;12;8;12;11;16;13;18;9;11;13;13;11;12;15;24;25;16;22;21
9;13;14;11;13;13;14;13;17;11;15;13;14;14;12;24;24;25;24;14
12;13;14;12;12;18;13;14;12;14;13;11;14;12;12;25;25;12;25;22
12;9;9;15;10;17;12;13;15;13;12;13;13;13;13;21;23;24;23;23
14;14;12;13;15;19;19;21;11;14;16;14;13;13;12;16;15;25;22;22
10;11;12;12;14;13;8;17;12;14;14;14;13;16;14;20;21;24;23;25
12;16;11;16;5;11;14;10;15;14;15;13;12;12;12;25;23;19;24;23
11;13;13;15;10;13;11;18;13;14;12;3;13;11;14;23;23;24;25;20
10;10;13;11;4;19;12;16;14;12;12;15;16;12;14;24;22;25;22;24
12;15;12;6;10;22;13;12;15;12;16;12;13;14;13;24;25;21;23;24
13;13;10;11;15;16;14;9;11;8;13;13;13;15;15;15;25;18;24;22
13;11;14;12;14;18;16;21;12;14;15;11;16;14;15;15;16;25;25;22
15;11;13;13;17;16;15;19;10;18;14;14;17;14;15;20;25;21;23;25
;;;;;;;;;;13;14;16;14;12;;;;;
;;;;;;;;;;8;12;16;15;16;;;;;
;;;;;;;;;;13;12;14;13;13;;;;;
;;;;;;;;;;13;12;14;13;14;;;;;
;;;;;;;;;;13;13;14;11;13;;;;;
;;;;;;;;;;12;13;10;11;13;;;;;
;;;;;;;;;;12;13;13;11;11;;;;;
;;;;;;;;;;14;12;14;10;16;;;;;
;;;;;;;;;;12;14;13;14;14;;;;;
;;;;;;;;;;14;11;13;14;15;;;;;
