f;;;;;n;;;;;r;;;;;s;;;;
CR;CR+;RTW;SR;TI;CR;CR+;RTW;SR;TI;CR;CR+;RTW;SR;TI;CR;CR+;RTW;SR;TI;
6;9;6;10;8;11;9;14;9;12;7;9;10;6;10;17;14;19;19;24
6;11;5;6;9;10;6;10;14;8;6;5;8;6;4;25;25;21;24;14
9;5;4;9;7;14;11;17;6;10;6;5;6;6;8;24;23;11;21;21
5;8;6;10;11;10;13;13;16;9;6;5;8;6;6;22;24;25;24;14
5;5;7;10;7;13;11;14;10;10;4;6;6;8;4;25;25;11;25;20
7;5;7;8;5;13;6;11;8;8;6;9;6;6;7;20;22;23;23;23
6;8;6;9;10;16;16;19;8;7;6;7;9;6;6;17;13;24;22;22
8;8;8;7;8;11;2;16;6;8;6;6;8;5;8;20;18;24;23;24
7;9;9;11;3;3;10;7;10;10;7;6;6;9;5;25;22;17;23;23
9;10;9;11;5;13;9;14;7;11;6;2;6;7;8;22;22;24;25;20
6;6;7;5;3;17;10;10;8;9;6;9;9;5;6;24;22;24;22;22
7;6;6;4;10;19;9;9;12;8;7;6;5;9;6;22;24;21;23;24
6;8;8;9;11;14;10;8;9;8;4;4;8;10;11;9;23;14;22;20
5;10;9;7;7;17;15;16;4;12;7;7;12;10;8;10;15;25;23;21
7;7;9;8;7;13;13;18;9;14;6;5;9;9;8;20;24;21;21;23
;;;;;;;;;;5;8;7;9;5;;;;;
;;;;;;;;;;3;4;7;5;4;;;;;
;;;;;;;;;;6;4;8;7;6;;;;;
;;;;;;;;;;5;6;8;7;5;;;;;
;;;;;;;;;;8;6;8;6;4;;;;;
;;;;;;;;;;6;5;5;6;6;;;;;
;;;;;;;;;;7;5;4;7;4;;;;;
;;;;;;;;;;5;6;5;3;8;;;;;
;;;;;;;;;;7;6;7;6;7;;;;;
;;;;;;;;;;7;5;6;5;7;;;;;
