Test type;Tool name;Success codes;;;;;Vouchers used;;;;;Ratio;;;;;Local;;;;;Webserver;;;;;Appserver;;;;;Diff-times;;;;
;;min;max;avg;med;std;min;max;avg;med;std;min;max;avg;med;std;min;max;avg;med;std;min;max;avg;med;std;min;max;avg;med;std;min;max;avg;med;std;
f;CR2;8;15;11,8;12;2,042407542932745;5;9;6,6;6;1,2983506020002016;1,2222222222222223;2,6;1,8371957671957673;1,7142857142857142;0,4164903921120106;0,005;116,357;1,796875;0,009;13,60257219729637;0,011;78,893;3,22575;1,5259999999999998;9,331049135106603;0,0;73,73525;3,176923611111111;1,525375;8,727129169899907;1,47575;16,83525;7,7950333333333335;6,993;5,263497096637322
f;CR2+;9;16;12,733333333333333;13;2,086236073022646;5;11;7,666666666666667;8;1,9518001458970664;1,1;2,6;1,7427585377585377;1,6666666666666667;0,445152709270366;0,005;108,537;1,3650779944289693;0,009;11,3069044422656;0,006;14,195;2,109074498567335;1,338;2,386227542636832;0,0;16,58925;2,1570954038997217;1,60625;2,2502214826867637;1,4045;11,9805;4,0778;3,41625;2,4995537766055076
f;RTW2;7;14;11,6;12;2,197401062294143;4;9;7,066666666666666;7;1,5796322658258457;1,2222222222222223;2,3333333333333335;1,6861904761904762;1,5555555555555556;0,3542426714561464;0,0;107,344;3,034116923076923;0,076;17,153478579796033;0,005;81,069;4,366448717948718;1,6095000000000002;11,285388887041814;0,0;82,675;4,443396923076923;1,729;11,421012823869184;1,54375;17,92925;6,86275;6,62375;4,337544474864617
f;TI2;4;17;11,866666666666667;12;3,7199590371528606;3;11;7,4;7;2,585674822114004;1,0;2,4285714285714284;1,6525012025012025;1,6666666666666667;0,3663981845307755;0,0;5018,474;67,271304;0,096;575,3725023968659;0,008;4927,151;18,936632835820895;2,607;269,03652357187536;0,00025;5006,89775;71,28031130790191;2,99475;567,9402081671726;2,24725;714,512;113,77638333333333;6,03725;221,16430612565728
f;SR2;6;18;12,4;12;2,898275349237888;4;11;8,266666666666667;9;2,1201976547572388;1,1;2,2;1,5364502164502165;1,5;0,29116064648816437;0,043;104,244;0,4434138888888889;0,092;5,4980644290606335;0,002;8040,413;28,856883190883188;2,346;429,8240495897967;0,0;43,578;3,6986770833333336;2,42575;4,79763163412143;2,724;1303,945;93,98068333333333;6,834;334,7770488151601
n;CR2+;8;19;13,066666666666666;13;2,6583202716502514;2;16;10;10;3,585685828003181;1,0666666666666667;4,0;1,4973122248122248;1,2222222222222223;0,7309462998630867;0,006;7,286;0,05866111111111111;0,01;0,4481612220336506;0,004;24,052;4,0273;2,9610000000000003;4,099485333291526;0,00025;23,8835;3,7018506944444445;2,62025;3,6399242479404212;1,82;14,52725;4,90285;4,55275;3,4081167542668322
n;CR2;11;22;16,066666666666666;16;2,8900486072695997;3;19;12,933333333333334;13;3,8259763770958175;1,0;3,6666666666666665;1,3828518497326547;1,1875;0,6454140219012656;0,005;3,695;0,04135833333333333;0,01;0,21544134124653477;0,001;25,429;4,093090395480226;2,827;4,22199701251377;0,0;25,5695;4,021254861111111;2,7915;3,988338068880625;0,9735;5,82175;2,43625;2,0475;1,3634388704930736
n;RTW2;9;21;15,4;16;3,737837419073838;7;19;13,066666666666666;14;3,750555514409388;1,0;1,6;1,2042243457723334;1,1818181818181819;0,17208680551025707;0,0;9,812;0,21472222222222223;0,086;0,6501443598473245;0,0;47,141;5,4255102040816325;3,145;6,78113948784056;0,0;46,077;5,080518055555555;3,18525;6,152664029608067;1,285;8,38725;4,192566666666667;3,40925;2,455893824533331
n;TI2;8;18;13,266666666666667;14;2,282438128301359;7;14;9,6;9;1,9566735620873064;1,0;2,0;1,412044252044252;1,3333333333333333;0,28770364696136114;0,0;5025,834;134,28058021390373;0,067;809,1554614084976;0,003;9951,13;102,30711484593837;3,197;782,8924903583403;0,0;5079,8065;213,79259078947368;3,676;994,891349186243;-2,794;705,201;221,03821666666667;11,30325;276,38512718036714
n;SR2;9;17;12,866666666666667;12;2,356349072692956;4;16;9,066666666666666;9;3,104528182847635;1,0625;3,0;1,5378703703703704;1,375;0,5072194067442642;0,05;4,332;0,23765555555555556;0,127;0,3933850073857698;0,004;36,236;4,301382789317508;2,774;5,279618153248175;0,00025;36,90825;4,211327777777778;2,4438750000000002;4,874086661766784;1,09375;12,5515;4,827066666666667;3,95125;2,7814587553544805
r;CR2;8;16;13,04;13;1,7435595774162693;3;8;5,96;6;1,1357816691600546;1,5714285714285714;3,25;2,2545238095238096;2,1666666666666665;0,4527645616645805;0,0;1812,976;3,8996185410334347;0,015;71,25239885842113;0,019;104,798;2,65053663003663;1,2495;8,98622100792335;0,11475;104,947;2,4645641666666664;1,136125;8,261417513481634;1,10225;20,05025;3,81738;2,67825;3,8578678231958645
r;CR2+;3;15;12,48;13;2,238302928559939;2;9;5,84;6;1,6753109164172084;1,4444444444444444;3,25;2,2264126984126986;2,1666666666666665;0,5232532981504877;0,0;212,503;0,7916881188118812;0,0185;8,913203940376022;0,023;39,251;1,7003958333333333;1,4235;2,229615590573482;0,18125;28,656;1,553082347972973;1,16275;1,7278270974606171;0,91125;7,97;2,71698;2,33275;1,457849723837017
